,サービス名,企業名,説明,利用料金,初期費用,無料プラン,無料トライアル,詳細情報
10,かいとりロボ,株式会社エーエヌラボ,"長年の経験と商品知識が必要だった買取査定を、
AIが自動的かつ迅速に行います！",データベース登録点数や検索ボリュームによって別途お見積りが必要ですが、概算で1検索あたり1.0-2.0円ほどとお考え下さい。,"基本的に初期費用はありません。
但し、データ整理やシステム連携の必要性がある場合は、カスタマイズ費用が若干発生する可能性はあります。",なし,あり,https://ai-products.net/product/krobo/
11,AI-Scope (AI画像認識ソリューション),福博印刷株式会社,AI-Scope (AI画像認識ソリューション),お問い合わせください,お問い合わせください,なし,なし,https://ai-products.net/product/ai-scope/
12,nVision,NDIソリューションズ株式会社,"画像認識AIソリューション
nVision",お問い合わせください,お問い合わせください,お問い合わせください,お問い合わせください,https://ai-products.net/product/nvision/
13,フォトナビ・目視レス,株式会社ゼータ・ブリッジ,"「目視検査の自動化」を諦めていた担当者へ
高度な画像認識技術で実現可能に",お問合せください,お問合せください,なし,あり,https://ai-products.net/product/photonavi/
14,Vareal Face Recognition,Vareal株式会社,"顔認識率99%以上のAIエンジン
「Vareal Face Recognition」",お問合せください,お問合せください,お問合せください,お問合せください,https://ai-products.net/product/vareal-face/
15,Nextremer AI エンジン,株式会社Nextremer,"豊富な研究受託実績を基に開発された
AIプラットフォームやAIエンジンを提供",お問い合わせ下さい,お問い合わせ下さい,お問い合わせ下さい,お問い合わせ下さい,https://ai-products.net/product/ai-engine/
16,Gravio Enterprise AIエディション,アステリア株式会社,"顔認証や人の動きなどの画像AIとIoTのセンサーデータを
Gravio Enterprise AIエディション上で簡単に統合活用","年額 ¥1,200,000〜",なし,お問い合わせ下さい,お問い合わせ下さい,https://ai-products.net/product/gravio/
17,AIME-Solution,AIMENEXT JAPAN 株式会社,AIMENEXTと一緒に、AIでビジネスに「新価値」を今すぐ,お問合せください,お問合せください,なし,なし,https://ai-products.net/product/aime-solution/
18,オーダーメイドAI開発「カスタムAI」,株式会社 Laboro.AI,オーダーメイドAI開発「カスタムAI」,お問い合わせ下さい,お問い合わせ下さい,なし,なし,https://ai-products.net/product/custom-ai/
19,FLOW AI データラベリングサービス,日本FLOW株式会社,FLOW AI データラベリングサービス,お打合せ後お見積提示させていただきます。,お打合せ後お見積提示させていただきます。,なし,実データによるサンプル作成ご対応可能,https://ai-products.net/product/flow-ai/
20,ZUKKU,エス・アンド・アイ株式会社,"わずか10cm！手のひらサイズの
マーケティング支援AIロボット",2万円/台,136.5万円〜,なし,なし,https://ai-products.net/product/image-recognition-marketing-zukku/
21,デクワス.VISION,サイジニア株式会社,"イメージが似ている商品を見つけ出す
ビジュアルAIレコメンドサービス",20万円/月～,50万円～,なし,なし,https://ai-products.net/product/deqwas-vision/
22,VI-Checker,株式会社ヴィンクス,AI顔認証監視システム「VI-Checker」,開発中,開発中,開発中,開発中,https://ai-products.net/product/security-vi-checker/
23,αi Start Pack,テクノ・マインド株式会社,AI画像認識を簡単に利用開始できるパック,お問い合わせ下さい,なし,なし,お問い合わせ下さい,https://ai-products.net/product/image-recognition-ai-start-pack/
24,FaceMe®,サイバーリンク株式会社,"ディープラーニングを使用したエッジデバイス向けの
リアルタイムAI顔認識エンジン",お問い合わせ下さい,お問い合わせ下さい,お問い合わせ下さい,お問い合わせ下さい,https://ai-products.net/product/faceme/
25,AIを利用した画像生成・変換・特徴付加,イーグロース株式会社,AIを利用した画像生成・変換・特徴付加,お問い合わせ下さい,20万円,なし,なし,https://ai-products.net/product/image-recognition-multimodal-cnn/
26,人工知能研究開発支援,株式会社クラスキャット,人工知能研究開発支援,お問い合わせ下さい,お問い合わせ下さい,なし,なし,https://ai-products.net/product/integration-ai_dev_services/
27,アイトラッキング（視線計測）,トビー・テクノロジー株式会社,目は口程に物を言う,お問い合わせ下さい,お問い合わせ下さい,なし,あり,https://ai-products.net/product/automation-support-eyetracking/
28,comicID,株式会社ディ・アル・エム インサイド,漫画対象のフィルタリングサービス,お問い合わせ下さい,お問い合わせ下さい,お問い合わせ下さい,お問い合わせ下さい,https://ai-products.net/product/image-recognition-comicid/
29,imageID,株式会社ディ・アル・エム インサイド,"デジタル画像を識別する技術は、一般写真やポートレート、
美術作品などの画像識別に優れた性能を誇ります。",お問い合わせ下さい,お問い合わせ下さい,お問い合わせ下さい,お問い合わせ下さい,https://ai-products.net/product/image-recognition-imageid/
30,AI画像判定サービス　MMEye,株式会社YE DIGITAL,食品製造業に最適！あいまいな画像判定をAIがルール化。,-,-,なし,あり,https://ai-products.net/product/mmeye/
31,Einstein Vision,株式会社セールスフォース・ドットコム,ディープラーニングで独自の画像認識モデルをアプリに構築,APIコール数に応じた課金,お問い合わせ下さい,あり,あり,https://ai-products.net/product/einstein-vision/
32,akaminds,ＦＰＴジャパンホールディングス株式会社,"デジタルトランスフォーメーションによる
ビジネスの拡大を支援する",お問い合わせ下さい,お問い合わせ下さい,お問い合わせ下さい,お問い合わせ下さい,https://ai-products.net/product/akaminds/
33,ファッションAI「#CBKscnnr」,株式会社ニューロープ,ファッション業界の工数削減や効率化に貢献,お問い合わせ下さい,お問い合わせ下さい,なし,なし,https://ai-products.net/product/image-recognition-fashion-ai-cbkscnnr/
34,専門画像認識AI構築サービス,メタデータ株式会社,専門画像認識のための学習済ディープラーニング・システム,お問い合わせ下さい,お問い合わせ下さい,なし,あり,https://ai-products.net/product/fine-grained-image-categorization/
35,SMART FASHION,株式会社BAP,AI・人工知能が試着にかかるスペースや時間を大幅に節約,お問い合わせ下さい,お問い合わせ下さい,お問い合わせ下さい,お問い合わせ下さい,https://ai-products.net/product/image-recognition-smart-fashion/
36,VisionPose（ビジョンポーズ）,株式会社ネクストシステム,WEBカメラだけで実現する、高精度AI骨格検出システム,"398,000円",0円,なし,なし,https://ai-products.net/product/visionpose/
37,FEEDER,株式会社エムティーアイ,"AI＋OCRで撮影した領収書を
「Concur Expense」と自動連携",お問い合わせ下さい,お問い合わせ下さい,なし,なし,https://ai-products.net/product/feeder/
