,サービス名,企業名,説明,利用料金,初期費用,無料プラン,無料トライアル,詳細情報
20,Third AI コンタクトセンターソリューション,日本サード・パーティ株式会社,チャットボットThirdAIは最適なAIを最適なコストで提供するAIソリューション,20万円～,100万円〜,なし,なし,https://ai-products.net/product2/third-ai/
21,Einstein for Service,株式会社セールスフォース・ドットコム,カスタマーサポート業務の効率化とオペレータの生産性を向上,"月額　6,000円/1ユーザー",-,なし,なし,https://ai-products.net/product/einstein-for-service/
22,Roanna（ロアンナ）,ベルズシステム株式会社,"質問回答人工知能「Roanna」を活用した
『働き方改革』『戦略的業務改善』",お問い合わせ下さい,お問い合わせ下さい,なし,あり,https://ai-products.net/product/chatbot-roanna/
23,CAIWA Service Viii,株式会社イクシーズラボ,"AIプラットフォームCAIWAを基盤とした
高性能AIチャットボット",お問い合わせ下さい,お問い合わせ下さい,お問い合わせ下さい,お問い合わせ下さい,https://ai-products.net/product2/caiwa-service-viii/
24,CAIWA Service CoReDA,株式会社イクシーズラボ,"AIプラットフォームCAIWAを基盤とした
AIチャット検索システム",お問い合わせ下さい,お問い合わせ下さい,お問い合わせ下さい,お問い合わせ下さい,https://ai-products.net/product/chatbot-caiwa-service-coreda/
25,AI会話プラットフォームCAIWA,株式会社イクシーズラボ,"自然言語対応チャットボットを簡単に構築・運用できる
AIプラットフォーム",お問い合わせ下さい,お問い合わせ下さい,お問い合わせ下さい,お問い合わせ下さい,https://ai-products.net/product/chatbot-caiwa/
26,5W1H抽出API ～個人情報保護に！,メタデータ株式会社,持ち出し文書の匿名化や口コミ内容等の分析に,1件あたり～5円,お問い合わせ下さい,あり,あり,https://ai-products.net/product/5w1h-api/
27,xenoBrain,株式会社xenodata lab.,ニュースから市場変化を予測するSaaS型AIサービス,月額4.8万円～,月額料金1か月分,なし,お問い合わせ下さい,https://ai-products.net/product/xenobrain/
28,OpAI,株式会社インテリジェントウェイブ,貴方が探しているファイルを１回の検索で探し出します！,お問い合わせ下さい,お問い合わせ下さい,なし,なし,https://ai-products.net/product/opai/
29,BOTCHAN,株式会社wevnal,カスタマーサポートを、早く、賢く、正確に,月額1万円～,10万円,あり,―,https://ai-products.net/product/chatbot-botchan/
